chr	pos	str	motifID
19	280671	+	MA0003
19	290259	+	MA0003
19	460355	+	MA0003
19	506870	+	MA0003
19	535095	+	MA0003
19	558922	+	MA0003
19	572292	+	MA0003
19	639940	-	MA0003
19	703806	+	MA0003
19	893144	+	MA0003
19	893187	+	MA0003
19	893188	-	MA0003
19	923457	+	MA0003
19	925558	+	MA0003
19	941161	-	MA0003
19	956562	-	MA0003
19	956578	+	MA0003
19	1001827	-	MA0003
19	1026497	+	MA0003
19	1066354	+	MA0003
19	1066355	-	MA0003
19	1104666	+	MA0003
19	1181952	+	MA0003
19	1182003	-	MA0003
19	1215615	-	MA0003
19	1269053	+	MA0003
19	1354796	+	MA0003
19	1491179	+	MA0003
19	1501393	-	MA0003
19	1513206	+	MA0003
19	1661243	+	MA0003
19	1661244	-	MA0003
19	1675938	+	MA0003
19	1837039	+	MA0003
19	1837040	-	MA0003
19	1863660	-	MA0003
19	1863670	-	MA0003
19	1863714	-	MA0003
19	1864938	-	MA0003
19	1887557	+	MA0003
19	1887558	-	MA0003
19	2050038	-	MA0003
19	2385312	+	MA0003
19	2479031	+	MA0003
19	2484452	+	MA0003
19	2489465	-	MA0003
19	2525182	+	MA0003
19	2527914	+	MA0003
19	2529046	-	MA0003
19	2581197	+	MA0003
19	2603517	-	MA0003
19	2670554	+	MA0003
19	2727243	-	MA0003
19	2819769	-	MA0003
19	2953420	-	MA0003
19	2976820	+	MA0003
19	3028708	-	MA0003
19	3028722	-	MA0003
19	3276365	-	MA0003
19	3385064	+	MA0003
19	3429866	+	MA0003
19	3545338	+	MA0003
19	3558204	-	MA0003
19	3565358	+	MA0003
19	3606356	+	MA0003
19	3688261	+	MA0003
19	3688305	-	MA0003
19	3713124	-	MA0003
19	3713150	+	MA0003
19	3721620	+	MA0003
19	4042791	-	MA0003
19	4058352	+	MA0003
19	4062033	-	MA0003
19	4062732	-	MA0003
19	4066011	+	MA0003
19	4084503	-	MA0003
19	4084512	-	MA0003
19	4182689	+	MA0003
19	4338738	+	MA0003
19	4374753	-	MA0003
19	4374764	-	MA0003
19	4390800	+	MA0003
19	4471751	-	MA0003
19	4535152	+	MA0003
19	4558492	-	MA0003
19	4670405	-	MA0003
19	4831787	-	MA0003
19	4870223	-	MA0003
19	4915129	+	MA0003
19	4941434	+	MA0003
19	4968712	+	MA0003
19	4971773	-	MA0003
19	4991791	-	MA0003
19	5023290	-	MA0003
19	5339689	+	MA0003
19	5568099	+	MA0003
19	5719347	-	MA0003
19	5828007	+	MA0003
19	5828041	-	MA0003
19	5904856	-	MA0003
19	5915912	-	MA0003
19	5968360	+	MA0003
19	5977898	-	MA0003
19	6022527	-	MA0003
19	6022555	-	MA0003
19	6199896	-	MA0003
19	6423687	-	MA0003
19	6472872	+	MA0003
19	6738178	+	MA0003
19	6738179	-	MA0003
19	6743291	-	MA0003
19	6745171	-	MA0003
19	6783906	+	MA0003
19	7198134	-	MA0003
19	7440742	+	MA0003
19	7512798	-	MA0003
19	7535737	+	MA0003
19	7551518	-	MA0003
19	7595553	+	MA0003
19	7595554	-	MA0003
19	7820805	+	MA0003
19	7820806	-	MA0003
19	7830100	+	MA0003
19	7904270	+	MA0003
19	7921005	+	MA0003
19	8113285	-	MA0003
19	8312000	+	MA0003
19	8367518	-	MA0003
19	8506200	+	MA0003
19	8514220	-	MA0003
19	8525663	+	MA0003
19	8832508	-	MA0003
19	9055065	+	MA0003
19	9079950	-	MA0003
19	9079967	-	MA0003
19	9538682	+	MA0003
19	9913630	+	MA0003
19	10027840	-	MA0003
19	10027875	-	MA0003
19	10184800	+	MA0003
19	10483786	-	MA0003
19	10502112	-	MA0003
19	10502851	+	MA0003
19	10502852	-	MA0003
19	10551771	-	MA0003
19	10594171	-	MA0003
19	10718011	-	MA0003
19	10718079	-	MA0003
19	10737186	+	MA0003
19	10737210	+	MA0003
19	10737211	-	MA0003
19	10744274	+	MA0003
19	10821272	-	MA0003
19	10899300	+	MA0003
19	10899301	-	MA0003
19	10939587	+	MA0003
19	11138719	-	MA0003
19	11142659	-	MA0003
19	11142672	+	MA0003
19	11142673	-	MA0003
19	11143402	+	MA0003
19	11143403	-	MA0003
19	11197773	-	MA0003
19	11293862	-	MA0003
19	11482606	-	MA0003
19	11505743	+	MA0003
19	11505761	+	MA0003
19	11581346	+	MA0003
19	11597255	+	MA0003
19	11597286	-	MA0003
19	11754848	-	MA0003
19	12059724	-	MA0003
19	12065462	+	MA0003
19	12065463	-	MA0003
19	12141292	+	MA0003
19	12251577	-	MA0003
19	12251626	+	MA0003
19	12251627	-	MA0003
19	12484729	-	MA0003
19	12484747	-	MA0003
19	12484892	-	MA0003
19	12564296	+	MA0003
19	12666889	+	MA0003
19	12681269	+	MA0003
19	12723688	-	MA0003
19	12783905	-	MA0003
19	12806721	-	MA0003
19	12828712	+	MA0003
19	12834257	-	MA0003
19	12885599	-	MA0003
19	12933461	-	MA0003
19	12938339	-	MA0003
19	12956133	-	MA0003
19	12956158	+	MA0003
19	12965084	+	MA0003
19	12965104	+	MA0003
19	12965525	-	MA0003
19	12983834	+	MA0003
19	13036568	-	MA0003
19	13053991	-	MA0003
19	13094035	-	MA0003
19	13163839	+	MA0003
19	13164766	-	MA0003
19	13671028	-	MA0003
19	13748120	+	MA0003
19	13748121	-	MA0003
19	13795105	-	MA0003
19	13840645	+	MA0003
19	13843773	+	MA0003
19	13843791	+	MA0003
19	13847105	+	MA0003
19	13861967	+	MA0003
19	13861968	-	MA0003
19	13880362	-	MA0003
19	13906261	-	MA0003
19	13906268	-	MA0003
19	13981223	+	MA0003
19	13981224	-	MA0003
19	14006343	+	MA0003
19	14031783	+	MA0003
19	14037699	+	MA0003
19	14112568	+	MA0003
19	14140180	+	MA0003
19	14502763	+	MA0003
19	14518084	+	MA0003
19	14553499	-	MA0003
