chr	pos	strand	regName	Quantile
5	177448280	+	HO_100000	Q1
5	177453759	+	HO_100003	Q1
5	177459432	+	HO_100009	Q1
5	177461847	+	HO_100010	Q1
5	177471778	+	HO_100017	Q1
5	177474466	+	HO_100018	Q1
5	177475596	+	HO_100019	Q1
5	177490146	+	HO_100024	Q1
5	177491356	+	HO_100026	Q1
5	177492930	+	HO_100027	Q1
5	177494971	+	HO_100028	Q1
5	177498641	+	HO_100034	Q1
5	177507897	+	HO_100038	Q1
5	177536741	+	HO_100044	Q1
5	177553453	+	HO_100047	Q1
5	177554931	+	HO_100048	Q1
5	177599390	+	HO_100055	Q1
5	177600621	+	HO_100056	Q1
5	177605070	+	HO_100057	Q1
5	177606532	+	HO_100058	Q1
5	177670867	+	HO_100063	Q1
5	177672850	+	HO_100064	Q1
5	177704111	+	HO_100072	Q1
5	177782556	+	HO_100082	Q1
5	177806425	+	HO_100090	Q1
5	177808771	+	HO_100093	Q1
1	2484303	+	HO_1001	Q1
5	177876577	+	HO_100105	Q1
5	177887366	+	HO_100109	Q1
5	177938887	+	HO_100112	Q1
5	177945498	+	HO_100116	Q1
5	177961653	+	HO_100121	Q1
5	178007189	+	HO_100137	Q1
5	178094833	+	HO_100147	Q1
5	178105061	+	HO_100149	Q1
5	178114758	+	HO_100155	Q1
1	60598994	+	HO_10016	Q1
5	178122407	+	HO_100163	Q1
5	178131768	+	HO_100166	Q1
5	178166269	+	HO_100178	Q1
5	178205935	+	HO_100186	Q1
5	178231387	+	HO_100191	Q1
5	178245001	+	HO_100199	Q1
5	178262755	+	HO_100204	Q1
5	178271446	+	HO_100208	Q1
5	178293559	+	HO_100209	Q1
5	178306244	+	HO_100211	Q1
5	178361562	+	HO_100217	Q1
5	178362444	+	HO_100218	Q1
5	178515992	+	HO_100238	Q1
5	178518168	+	HO_100239	Q1
5	178576178	+	HO_100255	Q1
5	178578140	+	HO_100257	Q1
5	178589184	+	HO_100261	Q1
5	178591023	+	HO_100262	Q1
5	178775989	+	HO_100297	Q1
5	178831365	+	HO_100307	Q1
5	178900375	+	HO_100321	Q1
5	178992539	+	HO_100333	Q1
5	178995511	+	HO_100335	Q1
5	178997132	+	HO_100337	Q1
5	179122245	+	HO_100355	Q1
5	179135492	+	HO_100365	Q1
5	179155109	+	HO_100375	Q1
5	179187510	+	HO_100384	Q1
5	179190369	+	HO_100386	Q1
5	179212598	+	HO_100388	Q1
5	179238823	+	HO_100396	Q1
5	179239655	+	HO_100397	Q1
5	179273675	+	HO_100403	Q1
5	179296552	+	HO_100412	Q1
5	179302990	+	HO_100416	Q1
5	179314778	+	HO_100421	Q1
5	179321321	+	HO_100422	Q1
5	179331994	+	HO_100426	Q1
5	179343402	+	HO_100427	Q1
5	179346173	+	HO_100429	Q1
1	60924841	+	HO_10043	Q1
5	179403013	+	HO_100445	Q1
5	179411662	+	HO_100447	Q1
5	179413332	+	HO_100448	Q1
5	179452715	+	HO_100460	Q1
5	179453875	+	HO_100461	Q1
5	179551382	+	HO_100477	Q1
1	60968473	+	HO_10049	Q1
5	179678215	+	HO_100518	Q1
5	179679497	+	HO_100520	Q1
5	179794954	+	HO_100543	Q1
5	179797009	+	HO_100544	Q1
5	179799719	+	HO_100546	Q1
5	179802293	+	HO_100547	Q1
5	179804423	+	HO_100548	Q1
5	179815838	+	HO_100553	Q1
5	179818430	+	HO_100556	Q1
5	179820193	+	HO_100558	Q1
5	179822150	+	HO_100559	Q1
5	179878266	+	HO_100575	Q1
5	179889505	+	HO_100581	Q1
5	179906471	+	HO_100583	Q1
5	179908810	+	HO_100585	Q1
1	61044262	+	HO_10059	Q1
5	180097073	+	HO_100609	Q1
5	180112844	+	HO_100614	Q1
5	180126591	+	HO_100618	Q1
5	180134415	+	HO_100623	Q1
5	180137312	+	HO_100627	Q1
5	180138297	+	HO_100628	Q1
5	180179209	+	HO_100637	Q1
5	180208148	+	HO_100644	Q1
5	180210025	+	HO_100645	Q1
5	180290346	+	HO_100655	Q1
5	180291067	+	HO_100656	Q1
5	180292815	+	HO_100657	Q1
5	180293610	+	HO_100658	Q1
5	180311671	+	HO_100662	Q1
5	180312318	+	HO_100663	Q1
5	180318146	+	HO_100666	Q1
5	180346214	+	HO_100669	Q1
1	61081678	+	HO_10067	Q1
5	180351920	+	HO_100670	Q1
5	180354837	+	HO_100673	Q1
5	180370769	+	HO_100676	Q1
5	180385369	+	HO_100677	Q1
1	61082665	+	HO_10068	Q1
5	180416675	+	HO_100683	Q1
5	180595135	+	HO_100736	Q1
5	180615368	+	HO_100739	Q1
5	180616427	+	HO_100740	Q1
5	180617883	+	HO_100742	Q1
5	180620506	+	HO_100744	Q1
5	180636482	+	HO_100748	Q1
5	180637756	+	HO_100749	Q1
5	180639471	+	HO_100750	Q1
5	180647845	+	HO_100754	Q1
5	180657879	+	HO_100757	Q1
5	180791739	+	HO_100781	Q1
5	180793277	+	HO_100782	Q1
5	180802080	+	HO_100784	Q1
5	180803635	+	HO_100785	Q1
5	180804954	+	HO_100786	Q1
5	180809442	+	HO_100788	Q1
5	180905946	+	HO_100799	Q1
5	181045957	+	HO_100810	Q1
5	181053764	+	HO_100813	Q1
5	181097348	+	HO_100819	Q1
5	181099650	+	HO_100821	Q1
5	181102032	+	HO_100823	Q1
5	181141944	+	HO_100828	Q1
5	181161524	+	HO_100831	Q1
5	181192329	+	HO_100845	Q1
5	181195856	+	HO_100849	Q1
5	181206373	+	HO_100852	Q1
5	181224384	+	HO_100857	Q1
5	181260477	+	HO_100870	Q1
5	181281739	+	HO_100875	Q1
5	181296985	+	HO_100878	Q1
5	181324321	+	HO_100881	Q1
5	181325896	+	HO_100883	Q1
5	181385092	+	HO_100888	Q1
5	181445435	+	HO_100893	Q1
6	63192	+	HO_100897	Q1
6	89390	+	HO_100899	Q1
1	2494038	+	HO_1009	Q1
6	178475	+	HO_100903	Q1
6	325899	+	HO_100923	Q1
6	349468	+	HO_100929	Q1
6	359601	+	HO_100933	Q1
6	391194	+	HO_100943	Q1
6	393918	+	HO_100948	Q1
6	419024	+	HO_100952	Q1
6	425555	+	HO_100957	Q1
6	436405	+	HO_100962	Q1
6	440354	+	HO_100964	Q1
6	457637	+	HO_100967	Q1
6	520727	+	HO_100977	Q1
6	693735	+	HO_101000	Q1
6	695367	+	HO_101001	Q1
6	786314	+	HO_101012	Q1
6	786899	+	HO_101013	Q1
6	1003480	+	HO_101027	Q1
6	1205446	+	HO_101044	Q1
6	1312479	+	HO_101052	Q1
6	1316112	+	HO_101054	Q1
6	1318266	+	HO_101056	Q1
6	1382786	+	HO_101062	Q1
6	1384577	+	HO_101064	Q1
6	1387411	+	HO_101066	Q1
6	1388643	+	HO_101067	Q1
6	1391990	+	HO_101070	Q1
6	1437765	+	HO_101079	Q1
6	1482234	+	HO_101086	Q1
6	1603809	+	HO_101117	Q1
6	1605987	+	HO_101118	Q1
6	1608688	+	HO_101121	Q1
6	1610835	+	HO_101123	Q1
6	1704580	+	HO_101141	Q1
6	2201294	+	HO_101185	Q1
6	2246362	+	HO_101190	Q1
6	2428907	+	HO_101213	Q1
6	2491509	+	HO_101221	Q1
6	2504694	+	HO_101223	Q1
6	2646795	+	HO_101235	Q1
6	2694756	+	HO_101239	Q1
6	2766531	+	HO_101246	Q1
6	2767316	+	HO_101247	Q1
6	2768405	+	HO_101248	Q1
6	2853113	+	HO_101259	Q1
6	2874799	+	HO_101265	Q1
6	2901811	+	HO_101270	Q1
1	61644477	+	HO_10128	Q1
6	3053227	+	HO_101306	Q1
6	3064815	+	HO_101314	Q1
6	3065756	+	HO_101315	Q1
6	3069671	+	HO_101318	Q1
6	3156433	+	HO_101340	Q1
6	3158517	+	HO_101341	Q1
6	3169540	+	HO_101344	Q1
6	3195774	+	HO_101352	Q1
1	61742156	+	HO_10137	Q1
1	61743571	+	HO_10138	Q1
6	3355344	+	HO_101390	Q1
6	3356757	+	HO_101391	Q1
6	3455656	+	HO_101399	Q1
1	2500494	+	HO_1014	Q1
6	3457736	+	HO_101400	Q1
6	3468867	+	HO_101403	Q1
6	3505291	+	HO_101408	Q1
6	3747287	+	HO_101429	Q1
6	3750271	+	HO_101432	Q1
6	3753169	+	HO_101435	Q1
6	3772497	+	HO_101441	Q1
6	4031501	+	HO_101466	Q1
6	4136411	+	HO_101476	Q1
6	4427253	+	HO_101515	Q1
6	4549864	+	HO_101522	Q1
6	4588639	+	HO_101525	Q1
6	4775023	+	HO_101544	Q1
6	4777340	+	HO_101545	Q1
6	4778025	+	HO_101546	Q1
6	4839204	+	HO_101558	Q1
6	5037339	+	HO_101581	Q1
6	5038422	+	HO_101582	Q1
6	5083931	+	HO_101593	Q1
6	5086883	+	HO_101595	Q1
1	2503365	+	HO_1016	Q1
1	62138202	+	HO_10163	Q1
6	5572046	+	HO_101639	Q1
6	5679389	+	HO_101644	Q1
6	5750649	+	HO_101651	Q1
6	5827244	+	HO_101655	Q1
6	5839246	+	HO_101662	Q1
6	6004578	+	HO_101683	Q1
6	6024875	+	HO_101686	Q1
6	6028704	+	HO_101687	Q1
1	62194611	+	HO_10171	Q1
6	6278621	+	HO_101714	Q1
6	6293582	+	HO_101716	Q1
6	6376567	+	HO_101731	Q1
6	6538137	+	HO_101743	Q1
6	6605818	+	HO_101748	Q1
6	6696391	+	HO_101754	Q1
6	6745400	+	HO_101762	Q1
6	6746753	+	HO_101763	Q1
6	6763503	+	HO_101766	Q1
6	6837562	+	HO_101770	Q1
6	7051043	+	HO_101792	Q1
6	7053062	+	HO_101795	Q1
6	7106995	+	HO_101803	Q1
6	7110055	+	HO_101806	Q1
6	7211732	+	HO_101813	Q1
6	7229056	+	HO_101817	Q1
6	7247837	+	HO_101825	Q1
6	7267723	+	HO_101829	Q1
6	7348081	+	HO_101846	Q1
1	62319780	+	HO_10186	Q1
6	7501188	+	HO_101867	Q1
6	7541094	+	HO_101873	Q1
1	2507149	+	HO_1019	Q1
6	7909579	+	HO_101907	Q1
6	7911359	+	HO_101909	Q1
